,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,stranger things,1,8,14,55
1,1,the boys,0,3,1,184
2,2,resident evil,0,15,8,23
3,3,the umbrella academy,0,5,2,2
4,4,ms. marvel,0,5,2,2
5,5,westworld,1,4,8,168
6,6,jurassic world dominion,0,5,8,8
7,7,minions: the rise of gru,11,5,2,12
8,8,doctor strange in the multiverse of madness,0,5,9,37
9,9,everything everywhere all at once,0,5,2,2
10,10,star trek: strange new worlds,0,5,8,8
11,11,the orville,4,2,1,169
12,12,obi-wan kenobi,0,5,8,8
13,13,severance,1,4,8,168
14,14,manifest,1,4,8,168
15,15,lightyear,11,0,4,9
16,16,thor: ragnarok,0,5,2,2
17,17,nope,12,4,8,11
18,18,spider-man: no way home,0,5,9,37
19,19,the sandman,1,8,14,55
20,20,the munsters,2,10,9,82
21,21,spiderhead,0,3,1,184
22,22,black mirror,1,4,8,168
23,23,the flash,0,5,1,39
24,24,the mandalorian,0,5,9,37
25,25,rocketry: the nambi effect,0,13,1,57
26,26,american horror story,1,15,8,42
27,27,"love, death & robots",11,16,0,7
28,28,doctor who,4,1,8,63
29,29,resident evil: welcome to raccoon city,0,15,8,23
30,30,solar opposites,11,2,8,52
31,31,crimes of the future,1,15,8,42
32,32,lost,4,1,9,13
33,33,jurassic park,0,5,8,8
34,34,rick and morty,11,5,2,12
35,35,morbius,0,5,14,18
36,36,the marvels,0,5,9,37
37,37,the undeclared war,1,9,13,6
38,38,avengers: endgame,0,5,1,39
39,39,dune: part one,0,5,1,39
40,40,halo,0,5,8,8
41,41,eternals,0,5,9,37
42,42,the x files,3,1,5,15
43,43,dark,3,1,5,15
44,44,star trek: discovery,0,5,1,39
45,45,ghostbusters: afterlife,4,2,9,38
46,46,dc league of super-pets,11,0,4,9
47,47,avatar: the way of water,0,5,8,8
48,48,interstellar,4,1,8,63
49,49,inception,0,5,8,8
50,50,invincible,11,0,4,9
51,51,free guy,0,5,2,2
52,52,the 100,1,4,8,168
53,53,black panther: wakanda forever,0,5,1,39
54,54,loki,0,5,9,37
55,55,black adam,0,8,8,1
56,56,the time traveler's wife,1,8,10,41
57,57,star wars: the clone wars,11,0,4,9
58,58,sonic the hedgehog 2,0,5,2,2
59,59,she-hulk: attorney at law,0,5,2,2
60,60,wandavision,0,2,1,85
61,61,arcane: league of legends,11,0,4,9
62,62,minions,11,5,2,12
63,63,avengers: infinity war,0,5,8,8
64,64,guardians of the galaxy,0,5,2,2
65,65,star trek: the next generation,0,5,8,8
66,66,the book of boba fett,0,5,8,8
67,67,star trek,0,5,8,8
68,68,the expanse,1,4,8,168
69,69,star wars,0,5,9,37
70,70,harley quinn,11,0,4,9
71,71,daredevil,0,3,1,184
72,72,don't look up,2,1,8,75
73,73,jurassic world,0,5,8,8
74,74,superman & lois,0,5,1,39
75,75,mad god,11,8,14,100
76,76,samaritan,0,1,9,81
77,77,independence day,0,5,8,8
78,78,moonfall,0,5,8,8
79,79,doctor strange,0,5,9,37
80,80,blade runner 2049,0,1,5,27
81,81,black widow,0,5,8,8
82,82,jurassic world: fallen kingdom,0,5,8,8
83,83,back to the future,4,2,8,178
84,84,avatar,0,5,9,37
85,85,diabolical,11,16,0,7
86,86,smallville,0,5,1,39
87,87,night sky,4,1,9,13
88,88,titans,0,5,3,56
89,89,star trek: picard,0,5,1,39
90,90,warehouse 13,1,4,8,168
91,91,tenet,0,9,13,40
92,92,the suicide squad,0,5,2,2
93,93,the adam project,0,5,2,2
94,94,see,0,1,8,5
95,95,captain marvel,0,5,8,8
96,96,shang-chi and the legend of the ten rings,0,5,9,37
97,97,mad max: fury road,0,5,8,8
98,98,arrow,0,5,3,56
99,99,hawkeye,0,5,3,56
100,100,shining girls,3,1,5,15
101,101,peacemaker,0,5,2,2
102,102,fringe,1,4,8,168
103,103,fear the walking dead,1,15,8,42
104,104,despicable me,11,5,2,12
105,105,agents of s.h.i.e.l.d.,0,5,1,39
106,106,star wars: episode i - the phantom menace,0,5,9,37
107,107,motherland: fort salem,1,8,8,70
108,108,hellboy,0,5,9,37
109,109,stargåte sg-1,0,5,1,39
110,110,spider-man: homecoming,0,5,8,8
111,111,guardians of the galaxy vol. 2,0,5,2,2
112,112,the mist,12,9,13,162
113,113,black panther,0,5,8,8
114,114,spider-man,0,5,8,8
115,115,overlord,0,15,8,23
116,116,the avengers,0,5,8,8
117,117,station eleven,4,1,9,13
118,118,the hunger games,0,5,8,8
119,119,person of interest,0,3,1,184
120,120,minority report,0,3,5,76
121,121,blade runner,0,1,8,5
122,122,paper girls,1,8,14,55
123,123,baymax!,11,16,0,7
124,124,suicide squad,0,5,9,37
125,126,iron man,0,5,8,8
126,127,star trek: deep space nine,0,5,1,39
127,128,what if...?,11,0,4,9
128,129,the prestige,1,4,8,168
129,130,prey,0,1,14,49
130,131,from,1,15,5,19
131,132,guardians of the galaxy vol. 3,0,5,2,2
132,133,deadpool,0,5,2,2
133,134,star wars: episode ix - the rise of skywalker,0,5,9,37
134,135,star trek: voyager,0,5,8,8
135,136,gotham,0,3,1,184
136,137,venom: let there be carnage,0,5,8,8
137,138,aquaman,0,5,9,37
138,139,star wars: episode iii - revenge of the sith,0,5,9,37
139,140,the lost world: jurassic park,0,5,8,8
140,141,arrival,1,4,8,168
141,142,zack snyder's justice league,0,5,9,37
142,143,the midwich cuckoos,1,15,5,19
143,144,ghostbusters,0,2,9,98
144,145,alien: covenant,12,9,13,162
145,146,"roswell, new mexico",1,11,8,33
146,147,ex machina,1,9,13,6
147,148,the thing,12,4,8,11
148,149,spider-man: into the spider-verse,11,0,4,9
149,150,futurama,11,5,2,12
150,151,annihilation,4,1,14,50
151,152,doom patrol,0,5,2,2
152,153,watchmen,0,1,5,27
153,154,star wars: rebels,11,0,4,9
154,155,the tomorrow war,0,5,1,39
155,157,aliens,0,5,8,8
156,158,the deadly mantis,8,15,8,110
157,159,divergent,0,5,5,29
158,160,spider-man: far from home,0,5,8,8
159,161,captain america: the first avenger,0,5,8,8
160,162,gravity falls,11,0,4,9
161,163,resident alien,2,1,5,113
162,164,eternal sunshine of the spotless mind,1,11,8,33
163,165,upload,2,4,8,106
164,166,supergirl,0,5,1,39
165,167,farzar,11,0,4,9
166,168,deadpool 2,0,5,2,2
167,169,rogue one,0,5,8,8
168,170,firefly,4,1,8,63
169,171,jessica jones,0,3,1,184
170,172,raised by wolves,1,8,8,70
171,173,the amazing spider-man,0,5,8,8
172,174,dune: part two,0,5,1,39
173,175,avengers: age of ultron,0,5,8,8
174,176,the fifth element,0,5,8,8
175,177,transformers,0,5,8,8
176,178,prometheus,4,4,8,120
177,179,the world's end,0,2,8,43
178,180,the stand,4,1,9,13
179,181,star wars: episode vi - return of the jedi,0,5,9,37
180,182,a quiet place part ii,1,15,8,42
181,183,idiocracy,4,2,8,178
182,185,the twilight zone,1,8,14,55
183,186,ad astra,4,1,5,80
184,187,the empire strikes back,0,5,9,37
185,188,legends of tomorrow,0,5,1,39
186,189,the last of us,0,5,1,39
187,190,misfits,2,1,9,32
188,191,the falcon and the winter soldier,0,5,1,39
189,192,snowpiercer,0,1,8,5
190,193,sonic the hedgehog,0,5,2,2
191,194,godzilla vs. kong,0,9,13,40
192,195,star wars: episode vii - the force awakens,0,5,8,8
193,196,boku no hîrô akademia,11,0,4,9
194,197,captain america: civil war,0,5,8,8
195,198,logan,0,1,8,5
196,199,alf,2,10,8,17
197,200,fantastic four,0,5,8,8
198,201,star wars: episode ii - attack of the clones,0,5,9,37
199,202,the meg,0,15,8,23
200,203,the fountain,1,4,10,54
201,204,donnie darko,1,4,8,168
202,205,jigeum uri hakgyoneun,0,1,9,81
203,206,edge of tomorrow,0,5,8,8
204,207,armageddon,0,5,8,8
205,208,despicable me 3,11,5,2,12
206,209,adventure time,11,0,4,9
207,210,underwater,0,15,8,23
208,211,ready player one,0,5,8,8
209,212,starship troopers,0,5,8,8
210,213,about time,2,1,9,32
211,214,the man in the high castle,1,9,13,6
212,216,a quiet place,1,15,8,42
213,217,quantum leap,0,5,1,39
214,218,ant-man and the wasp: quantumania,0,5,2,2
215,219,her,1,11,8,33
216,220,the martian,4,1,8,63
217,221,dune,0,5,8,8
218,222,blindspot,0,3,1,184
219,223,big hero 6,11,0,4,9
220,224,lost in space,4,1,11,137
221,225,despicable me 2,11,5,2,12
